match_id,team_name,opponent,goals_for,goals_against,result,points,cohesion_total,cohesion_connectivity,cohesion_chemistry,cohesion_balance,cohesion_progression,n_players,n_connections,density,max_betweenness,top_betweenness_player,pre_shot_passes,total_passes,hub_dependence,cohesion_optimized
122863,1. FC Köln,Eintracht Frankfurt,1,1,draw,1,0.5209944138660516,0.3178217266689508,1.0,0.640787197231834,0.1253687315634218,16,113,0.4708333333333333,0.1703250188964474,Marvin Schwäbe,4,437,0.35921280276816603,0.47532965690604245
122863,Eintracht Frankfurt,1. FC Köln,1,1,draw,1,0.5258631091509026,0.3143904758608586,0.963020030816641,0.5944722650231125,0.2315696649029982,16,135,0.5625,0.3243877551020408,Mario Götze,18,789,0.40552773497688754,0.4819363723714225
122864,1. FC Union Berlin,RasenBallsport Leipzig,0,3,loss,0,0.5018877491677736,0.311003685709885,1.0,0.6578875171467764,0.0386597938144329,15,97,0.4619047619047619,0.2093406593406593,Diogo Leite,3,379,0.3421124828532236,0.46068469466436934
122864,RasenBallsport Leipzig,1. FC Union Berlin,3,0,win,3,0.5325989948033113,0.3326734097788182,1.0,0.5780117753623188,0.2197107940721079,16,137,0.5708333333333333,0.1865079365079365,Dani Olmo,18,675,0.42198822463768115,0.5016060179922721
122865,Bayer 04 Leverkusen,FC Bayern München,2,2,draw,1,0.6082684598572318,0.4625164031635257,1.0,0.7240867240867241,0.2464707121786767,13,113,0.7243589743589743,0.2707070707070707,Jeremie Frimpong,17,643,0.27591327591327586,0.5472922641866219
122865,FC Bayern München,Bayer 04 Leverkusen,2,2,draw,1,0.5529517164336052,0.3256128749794129,1.0,0.5905131826741996,0.2956808080808081,16,125,0.5208333333333334,0.2016666666666667,Konrad Laimer,16,651,0.4094868173258004,0.5037975408966573
122866,FC Augsburg,RasenBallsport Leipzig,0,3,loss,0,0.5051292067467147,0.3095505815861227,0.7826747720364742,0.7144756838905775,0.2138157894736842,16,114,0.475,0.2726654298082869,Elvis Rexhbecaj,16,430,0.2855243161094225,0.4146542101659617
122866,RasenBallsport Leipzig,FC Augsburg,3,0,win,3,0.5590061032162706,0.2963212202243898,1.0,0.5936079545454546,0.346095238095238,16,125,0.5208333333333334,0.1812925170068027,Fábio Carvalho,15,540,0.40639204545454544,0.49372894073990053
122867,Borussia Dortmund,SC Freiburg,4,2,win,3,0.5234038348592874,0.3041607062325164,0.7027027027027027,0.6224662162162162,0.4642857142857142,16,126,0.525,0.1627958152958153,Sébastien Haller,18,467,0.37753378378378377,0.43081466778807287
122867,SC Freiburg,Borussia Dortmund,2,4,loss,0,0.5008161176228865,0.3136746621517375,0.8402777777777779,0.6046296296296296,0.2446824009324009,15,104,0.4952380952380952,0.1687728937728937,Noah Atubolu,16,463,0.39537037037037037,0.4506805711691089
