team_name,player_name,avg_impact,avg_impact_pct,avg_passes,avg_betweenness,matches_played
Eintracht Frankfurt,Hugo Larsson,0.004468533683358334,0.4468533683358334,27.24137931034483,0.08362707125022396,29
Eintracht Frankfurt,Philipp Max,0.003489086105839452,0.3489086105839451,30.652173913043477,0.06597398345845551,23
Eintracht Frankfurt,Farès Chaïbi,0.003044707282486978,0.30447072824869775,19.5,0.10879230416220212,28
Eintracht Frankfurt,Junior Dina Ebimbe,-0.0007941362615802888,-0.07941362615802887,23.0,0.07405420701503651,31
Eintracht Frankfurt,Omar Marmoush,-0.0012328436035904694,-0.12328436035904695,13.482758620689655,0.1255541256772784,29
Eintracht Frankfurt,Ansgar Knauff,-0.002369183852019083,-0.2369183852019083,15.0,0.09555056182936368,31
Eintracht Frankfurt,Aurélio Buta,-0.0025536432101932608,-0.2553643210193261,27.933333333333334,0.08489746496889355,30
Eintracht Frankfurt,Jean-Mattéo Bahoya,-0.0025616205402713777,-0.25616205402713776,8.714285714285714,0.04779671575589944,7
Eintracht Frankfurt,Niels Nkounkou,-0.0031049498447323154,-0.31049498447323154,19.75862068965517,0.07017999697802654,29
Eintracht Frankfurt,Donny van de Beek,-0.003257281669333048,-0.3257281669333048,13.25,0.06359579408686553,8
Eintracht Frankfurt,Kevin Trapp,-0.0056828725370432105,-0.5682872537043211,21.3125,0.0706930841975485,32
Eintracht Frankfurt,Timothy Chandler,-0.006852820871689462,-0.6852820871689461,2.6666666666666665,0.02294252044252044,6
Eintracht Frankfurt,Paxten Aaronson,-0.008453208796539022,-0.8453208796539023,5.571428571428571,0.05499408188183698,7
Eintracht Frankfurt,Hugo Ekitiké,-0.00874564176373706,-0.8745641763737061,8.714285714285714,0.08259192810213219,14
Eintracht Frankfurt,Sebastian Rode,-0.012940951471206316,-1.2940951471206317,5.25,0.0279655612244898,8
Eintracht Frankfurt,Nacho Ferri,-0.013368232689123365,-1.3368232689123365,2.4285714285714284,0.019031422092646584,7
Eintracht Frankfurt,Jessic Ngankam,-0.013486058257083901,-1.3486058257083902,2.4285714285714284,0.02648005905658967,14
Eintracht Frankfurt,Sasa Kalajdzic,-0.014486121193227364,-1.4486121193227364,11.8,0.10683135647421363,5
Eintracht Frankfurt,Jens Petter Hauge,-0.01639942024614799,-1.639942024614799,6.7,0.06149127856270714,10
