match_id,team_name,opponent,goals_for,goals_against,result,points,cohesion_total,cohesion_connectivity,cohesion_chemistry,cohesion_balance,cohesion_progression,n_players,n_connections,density,max_betweenness,top_betweenness_player,pre_shot_passes,total_passes
122850,Borussia Dortmund,VfL Bochum,1,1,draw,1,0.5671808361145654,0.34974703567932136,1.0,0.6460825358851674,0.2728937728937729,16,130,0.5416666666666666,0.18894557823129252,Salih Özcan,21,569
122851,1. FC Heidenheim 1846,TSG 1899 Hoffenheim,2,3,loss,0,0.5852609970063629,0.3175391771364955,1.0,0.6886109282422647,0.33489388264669157,14,89,0.489010989010989,0.14091880341880345,Niklas Beste,15,341
122851,TSG 1899 Hoffenheim,1. FC Heidenheim 1846,3,2,win,3,0.5169837258759011,0.3708799690896474,0.7834928229665072,0.7453648325358851,0.16819727891156463,16,140,0.5833333333333334,0.19384353741496596,Wout Weghorst,14,557
122852,SV Darmstadt 98,1. FC Union Berlin,1,4,loss,0,0.5887856454896774,0.32510627413170257,1.0,0.5421385017421603,0.48789780608484656,16,128,0.5333333333333333,0.245,Bartol Franjic,32,701
122852,1. FC Union Berlin,SV Darmstadt 98,4,1,win,3,0.5091194486771565,0.2742483574791887,0.7954545454545454,0.6521915584415585,0.3145833333333333,16,80,0.3333333333333333,0.22174603174603175,Alex Král,11,304
122853,Borussia Mönchengladbach,Bayer 04 Leverkusen,0,3,loss,0,0.563890119165039,0.3628077855842943,1.0,0.6650914634146341,0.22766122766122765,16,132,0.55,0.20499999999999996,Joe Scally,21,523
122853,Bayer 04 Leverkusen,Borussia Mönchengladbach,3,0,win,3,0.5426317080129545,0.3564662465074329,1.0,0.5941642120765832,0.21989637346780205,16,140,0.5833333333333334,0.14815570672713532,Florian Wirtz,39,760
122854,Eintracht Frankfurt,1. FSV Mainz 05,1,1,draw,1,0.4482856379647231,0.2776191952199258,0.7619647355163728,0.5639168765743072,0.1896417445482866,16,107,0.44583333333333336,0.29166666666666674,Kevin Trapp,9,566
122854,1. FSV Mainz 05,Eintracht Frankfurt,1,1,draw,1,0.5517942997193392,0.3270125412952466,0.8449074074074074,0.7042824074074074,0.3309748427672956,16,106,0.44166666666666665,0.24024565381708238,Dominik Kohr,15,359
122855,FC Bayern München,FC Augsburg,2,1,win,3,0.5783101201122357,0.33109381330184606,1.0,0.606904973357016,0.37524169379008093,16,124,0.5166666666666667,0.20277777777777778,Harry Kane,30,654
